Iterazione,Tempo1,Tempo2,Tempo3,Tempo4,Tempo
1,189.71,112.03,100.20,92.80,90.82
2,46.72,40.81,40.11,10.10,6.59
3,41.65,44.79,33.05,8.43,6.00
4,41.07,43.33,32.66,7.87,6.03
5,39.15,28.96,32.29,7.44,5.98
6,34.75,38.98,31.89,10.55,6.38
7,31.06,25.60,28.16,9.92,6.49
8,29.99,27.74,28.09,7.68,6.20
9,28.52,24.35,27.95,6.75,6.36
10,30.22,24.00,27.98,6.74,6.19
11,51.38,56.31,44.35,20.57,21.25
12,27.27,29.86,33.08,6.89,6.11
13,30.96,30.35,32.48,7.00,6.31
14,25.12,29.65,32.30,6.68,6.25
15,23.84,29.86,32.75,6.76,6.17
16,28.23,28.97,26.21,6.65,5.80
17,26.04,26.89,25.06,6.88,6.02
18,25.73,27.01,24.61,6.68,5.95
19,25.49,26.56,24.55,6.64,5.97
20,34.40,25.99,24.49,6.52,5.84
21,26.05,26.21,24.31,6.52,6.00
22,24.09,26.00,25.21,6.81,6.01
23,24.03,26.15,24.60,7.04,5.78
24,23.73,26.07,24.59,7.00,5.72
25,23.79,25.76,24.34,6.82,5.88
26,23.98,26.73,28.53,5.67,5.21
27,23.88,26.96,28.45,5.75,5.22
28,24.24,26.98,28.63,5.92,5.12
29,23.67,26.69,28.17,6.00,5.29
30,23.78,26.71,28.31,5.97,5.17
31,23.81,26.89,28.57,5.57,4.72
