Iterazione,Tempo1,Tempo2,Tempo3,Tempo4,Tempo5
1,189.36,109.38,101.41,102.75,90.34
2,33.29,25.95,24.98,8.78,6.40
3,30.48,25.53,24.56,8.96,6.21
4,28.77,25.54,24.78,8.41,6.07
5,29.16,26.34,30.35,7.25,6.26
6,29.48,25.74,24.65,7.13,6.15
7,28.16,25.72,23.92,7.07,6.21
8,31.28,24.35,23.82,7.04,8.38
9,36.99,24.66,23.64,7.25,8.43
10,30.70,25.20,24.20,7.14,8.53
11,58.69,59.77,36.94,29.54,28.89
12,36.95,42.92,26.16,9.28,8.84
13,25.47,27.33,25.50,8.93,8.78
14,24.67,27.13,25.28,9.34,8.78
15,24.20,25.33,30.51,6.64,8.23
16,34.73,30.34,25.13,6.48,8.27
17,33.01,27.99,25.02,6.34,8.15
18,24.99,24.46,24.07,5.93,20.04
19,37.53,29.20,25.32,5.86,8.22
20,26.16,24.00,24.92,5.89,8.10
21,24.59,26.54,24.77,5.87,5.81
22,24.09,25.57,24.79,6.07,5.61
23,24.25,24.05,24.93,6.47,5.70
24,24.17,24.15,25.76,6.24,5.86
25,24.49,23.92,24.35,5.63,6.11
26,24.24,24.89,24.18,5.15,5.15
27,23.80,26.00,24.35,5.40,5.26
28,24.14,26.04,24.68,5.52,5.05
29,24.34,25.84,24.67,5.15,5.23
30,24.32,25.33,24.45,5.09,4.84
31,24.10,27.09,24.40,4.94,4.93
